name,rating,text,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,stars
林欣平,,以前只有漢堡薯條跟台灣一樣，現在多了炸雞，但是炸雞非常難吃！跟台灣的完全不一樣，我寧願去吃KFC的，漢堡也退步了裡面的料、蔬菜跟醬料給的很少，越來越差,,,,4
Nguyen Linh,,supper good food,,,,5
Quân Bùi Quang,,Chất lượng đồ ăn xuống quá !,,,,1
NBT Channel,,"Nhân viên thân thiện chuyên nghiệp
Đồ ăn cũng ngon",,,,5
thao do,,Tuyệt,,,,5
CALVIN Shih,,Vi tri tot,,,,5
Anh Dre,,McDonald's is like McDonald's.,,,,4
Quốc Anh Nguyễn,,Quá tuyệt vời.,,,,5
Garel Alexandre,,"well , just a burger",,,,4
Dũng Anh,,"Ngon, nhanh, chuyên nghiệp",,,,4
thuc dongngoc,,1 trải nghiệm khá tệ tại đây,,,,1
4G SIM,,Oki,,,,5
Ninh Tran,,Tot,,,,5
Ngoc Anh Le,,"Ngày thường phục vụ rất nhanh, cuối tuần khá đông nên đợi lâu chút. Đồ ngon, nóng",,,,5
Khanh Vuong (strongGB),,"Khi bạn cần 1 bữa ăn đầy đủ giao về nhà qua Grab. Thì bạn lại nhận được 1 nửa món hàng và mất 30k tiền điện thoại để báo nhà hàng là giao thiếu món!

Phải chăng nhân viên ở đây không được đào tạo? Hoặc quản lý bận xem youtube? Làm ăn mất uy tín vậy sao tồn tại được?

Terrible Service ever! Untrained and unprofessional staffs",,,,1
hiền nguyễn thị thu,,"Mới đi test món mới thấy không đặc sắc
Quán về chất lượng đồ ăn thì ok
Nhưng thái độ phục vụ thì chắc do thiếu nhân lực nên hơi loạn
Dù có 2 máy order nhưng vẫn xếp hàng rất dài
Ngoài ra thì view đẹp
Nhưng không gian ăn bị 1 cô ăn xin làm rối nhiều vì xin đồ ăn
MC nên có an ninh tốt hơn",,,,3
Hiển Nguyễn Trường,,Đồ ăn không thực sự ấn tượng. Gọi 2 suất cơm thịt heo thêm 1 combo. Hơi bất ngờ rằng quán bán cơm nhưng không có nổi 1 cái thìa🤔. Cơm hơi nát. Mình có gọi thêm rau với dưa chuột kèm theo với cơm mà chỉ có 1 chút. Không biết nếu không gọi thêm thì như thế nào? Bánh burger kèm combo gà là cái mỏng nhất mà mình thấy. Bánh nhiều sốt nhưng hầu như ko có chút rau nào. Gà ướp ngấm gia vị khá tốt. Nếu không có món gà chắc mình chỉ đánh 2 sao!!!,,,,3
Mohamad Iqbal,,Nearby to the city center,,,,5
Nguyễn Tiến Sơn,,Cửa hàng ngay trung tâm phố tràng tiền hàng bài. Đồ ăn ngon và view đẹp,,,,5
Phuong Ngoc Vu,,"Slow service, forgot my burger in a takeaway order, dirty restaurant.",,,,1
ninh do,,"Cảm ơn các bạn,khi mình gặp khó khăn các bạn đã hỗ trợ mình hết sức",,,,5
Hiep Tran,,"Đồ ăn ngon, thường xuyên đông nên chờ khá lâu.
Reviewed by htecom.vn",,,,4
Viet Nguyen,,Quán tự phục vụ.,,,,4
Minh Nguyen,,"McDonald bạn mình hay trêu là đi ăn nhà hàng Mỹ ở bờ Hồ không? 😂😂😂😂😂

Lần nào gọi đồ cũng chung một kiểu không khác nhau mấy. Và lần nào mình cũng phân vân ăn gà cay hay không cay vì sợ đau... vào ngày hôm sau. 😂😂

Đồ ăn ok, phục vụ cũng nhanh, tuân thủ bảo vệ khách khỏi Covid. 😂😂",,,,4
Anh Đức Đỗ,,"Quán có hệ thống đặt đồ ăn qua màn hình rất tiện, ko mất nhiều thời gian xếp hàng như trước kia, đồ ăn ngon, phù hợp bữa trưa cần ăn nhanh.",,,,5
Tuan Nguyen,,Ngon,,,,5
Lee Edna,,"Hôm nay đi đúng 14/2 lại còn mùng 3 tết nên ối dồi ôi đông thì thôi ạ. Đang xếp hàng thì có bạn nv gọi lại cho order tại quầy thì khá rối vì chưa nhìn kỹ đc menu. Nhớ là có gọi combo 2 người A giá 129k hay sao. Và một phần có mã KM thì là 89k. Tổng 213k thì ăn cx tạm đc. Mình đã thử hết tất cả loại gà rồi thì cá nhân vẫn thấy thích của Lotteria nhất. Còn ở đây gà mình thấy giống của popeyes ý mọi ng. Chỉ có loại gà thường và gà cay k sốt sủng gì cả. Nhưng hamburger ở đây thì khá là oke nhé. Ăn ngon hơn những chỗ khác. À còn một nhắc nhở là khi đến đây muốn order tại máy thì nhớ tạo nick ở app McDonald's trc nhé, và hãy chuẩn bị một cái thẻ thật đầy tiền=))))
- không gian : 6/10 vì nhỏ và bí
- nhân viên : 7/10
- giá cả : 6/10
- quay lại or not : quay lại sẽ chỉ ăn ham thui=))",,,,4
Huy Pham,,Tiny and no parking,,,,4
NeXus,,"Alles top. Sehr sauber und sehr lecker. Es gab viele Gerichte, die es in Deutschland nicht gibt und es gab kostenlose Dips.",,,,5
Edzel Aaron,,Loving it!,,,,5
Cương Hoàng,,Full my wallet by penny. Nice,,,,1
Dương Minh Hoàng,,Vừa có đồ ăn vừa có đồ chơi cho bé,,,,5
trang tran,,Các con mình yêu thích địa điểm này,,,,5
Tuan Nguyen,,Good food but a little bit crowded at festive seasons. No seat available on New Year Holiday.,,,,4
Minh Thanh Le (Le Minh Thanh),,Quá đông nên chờ đợi hơi phiền.,,,,4
Nguyen Huy Ngoc,,Đồ ăn ngon,,,,5
Jose Cedrass,,Great food!,,,,4
Chu Đình Hiếu,,Đông quá,,,,1
Toàn Thái,,Nhiệt tình,,,,5
Matthew Mayer,,They ignore the special instructions comment box on Grab. This is dangerous as I could have been allergic to the soy sauce I asked not to put on my rice. Such a simple thing to leave off.,,,,1
Lê kim Thưởng,,Ok,,,,5
The Vandalism,,"Nhân viên nam tóc dài đeo kính phục vụ buổi sáng ngày 13/12/2020 có thái độ phục vụ tệ, nói giật giọng với khách.",,,,1
Huyên Nguyễn Văn,,Tuyệt vời 💯,,,,5
duong leduy,,Dc,,,,5
Thanh Phạm Quang,,Nhận được đơn giao hàng ở xa gọi điện đến chốt đơn đỡ mất thời gian chờ đợi lấy đơn thì nhân viên từ chối nhận đơn qua điện thoại. Phục vụ quá kém,,,,1
Dinh nhat le,,"Vốn yêu món Big Mac, nên là có cơ hội để béo thì phải chén cho nó đã. Gọi 1 chiếc combo và cảm thấy hài lòng với lựa chọn của mình ghê gớm :)) Big mac ngon nè, gà ngon nè, khoai hơi ỉu nè, quán hơi bé và đông nè, chờ hơi lâu nè. Có cơ sở 2 ở Hoàng Đạo Thúy rồi các Mac fan ạ, đỡ đông hơn và dường như to hơn đó.",,,,4
Nguyên Khánh Corp,,Ngon,,,,5
anh quynh,,"Tận tình, chu đáo, nhẹ nhàng",,,,5
정병진,,베트남음식이 입에 안맞고 한국음식이 안땡길때 가면 좋 음 참고로 맥모닝시간도 똑같음,,,,5
황경진,,맛이없다,,,,4
Mak Nguyễn,,"Đồ ăn bình thường,  size quá bé so với các nhãn hiệu khác,  hambuger rất tệ,  không hệ ngon.  Gà rán thì tạm được nhưng hơi khô.  Điểm cộng là có thể mua và tự thanh toán qua các màn hình cảm ứng lớn.  Giá cao so với chất lượng đồ ăn.  Không bằng kfc và lotteria , được mỗi vị trí đắc địa.",,,,3
Thu Tran ba,,"The location is very nice, convenience. It is located in the corner of Hang bai & Trang Thi street. I think one of the most expensive street.
To be hones, i do not like fast food, not only Mc Donal or KFS.",,,,3
CÔNG KHANH NGUYỄN,,"Quán đông, đồ uống ngon hơn đồ ăn. Views tốt. Nhân viên phục vụ bình thường.",,,,4
NGUYEN CANH Nam,,Crowded,,,,4
Danny Tseng,,常常有位子，真方便,,,,5
Bình Bùi,,Đồ ăn rất ngon,,,,5
Carlene Groen,,Very slow and the upstairs was very dirty,,,,3
Hoang Song Huong,,Good and friendly staffs,,,,5
Binh Minh Nguyen,,Always crowded,,,,4
Tuấn Tô,,Ok,,,,1
Liron Bebchuk Amir,,סניף  בהאנוי שחזרנו אליו שוב ושוב עם הילדים. שירות מצויין. ניקיון השירותים דורש שיפור,,,,4
Tùng Hoàng,,Khoai tây giòn hơn ở Thái Hà nhưng chỗ ngồi ít.,,,,4
Lê Hoàng Minh,,Đông nên không được sạch sẽ cho lắm,,,,4
Dung Vo,,"Fast food hiện đại, giá cả phù hợp ở khu phố cổ cho những người đi bộ cuối tuần.",,,,5
Lauren Goodwin,,The consistency is awesome- reminds me of home and tastes just like north american McDonald's!,,,,5
Thanh Tâm,,Tiện lợi và ngon nghẻ,,,,5
Cao Nguyên Cường,,"Mọi thứ đều đi trước thời đại và chuyên nghiệp ở mức độ cao nhất. Đồ ăn sạch sẽ, gà rất ""giòn da thấm thịt"" và có nhiều sốt ngon. Nên thử mù tạt mật ong và sốt tỏi ớt. Nếu như không phải đi bộ vào quán thì sẽ ghé thăm nhiều hơn.

Cập nhật: Dạo này McDonald's có chương trình 99k 2 burger bất kỳ hoặc mua 1 tặng 1 thứ 5 hàng tuần rất OK. Hy vọng sẽ tiếp tục có các chương trình mới để thu hút khách hàng.",,,,5
khanh nguyen,,Mua đồ,,,,1
Tuấn Tú,,Phục vụ tệ,,,,1
jaehyun lim,,"설명이 부족한 맥도널드 처음
음식이 나왔지만 본인이 서서 기다리지 않으면 절대 본인것인지 모르는 훌륭한 시스템
ㅜㅜ 이런경험 처음",,,,1
mit lâm,,Thái độ phục vụ của nhân viên rất chi là khó chiuh,,,,1
Шаг за Границу,,А мне понравилось.,,,,5
Scott Bowden,,This is good standard McDonald's with a lot of seating space upstairs. I felt inclined to leave a review because the management was very accommodating and kind to me after there was a mistake with my Grab order. They went out of their way to contact me personally and make sure I got what I actually ordered later. When I went in the manager was super friendly which is nice cause it could have been an awkward situation :),,,,5
yasuhiro izumida,,phoバーガーはあまり美味しくないです,,,,3
Nguyen Dinh Cuong,,Một trong những thương hiệu đồ ăn nhanh ngon nhất trong những cửa hàng bán cùng loại,,,,5
Bich Huyen Le,,"Phục vụ tốt, đồ ăn ngon, có thể tự order và thanh toán",,,,4
Mây Nguyễn,,"Đồ ngon, phục vụ lâu, đa dạng các loại sốt.
Mình đánh giá đồ ngon nhất trong các chi nhánh McDonald's",,,,4
Hai Thanh Tran,,Em thích chị phục vụ quá,,,,5
Kwee,,"It is too small size chickens than others ,",,,,4
Begzodbek Urinboev,,It was better before. Now looks dead place without tourist. Food is much worse than before,,,,3
Vũ đại Phạm,,Coi thường tài xế công nghệ!,,,,1
Thủy Trần Thu,,Tot,,,,5
Phu Do Thi Hong,,Nhân viên nhiệt tình,,,,3
Hòa Trần,,Phải thử cafe,,,,4
Ndugga Ronald,,The service is fast,,,,5
Linh Nấu,,Đắt vãi,,,,1
Công Nguyễn,,Quá nau,,,,1
Barath Kannan,,Lovely place to spend time .... Chicken wings is one of the favourite Dish.,,,,5
Vuong HUY fashion,,dv tốt,,,,5
trung lê,,Nhân viên phục vụ quá là ok.đồ ăn ngon.giá phải chăng,,,,5
phạm tùng,,Đợi order hơi lâu nhưng đồ ăn chấp nhận được,,,,5
Long bùi,,Cũng ngon. Nhưng tự phục vụ hơi nhiều.,,,,5
Tuyên Nguyễn,,"Lần đầu tiên đặt qua grab ở cửa hàng này, thất vọng tràn trề. Giao thiếu hẳn 2 hambuger và 2 nước ngọt. Liên hệ lại quán bảo đợi 1 chút mà đợi đúng 1 tiếng rưỡi, đợi hết cả giờ ăn trưa. Lúc gọi khiếu nại thì không gọi được luôn. Đúng lúc đó có 1 anh grab khác mang đồ thiếu tới gọi cho mình thì giao nhầm địa chỉ. Nhà 4A thì nhân viên bên cửa hàng đặt grab là nhà 44, mình nhận đồ ăn còn combo nghe cả anh grab càu nhàu đến cửa hàng phải đợi 20p rồi lại còn đặt sai địa chỉ. Mà trên phố đi đường 1 chiều chứ, quay lại đâu phải dễ. Mình thì nhận đồ ăn cũng ko còn thời gian ăn, chỉ muốn ném  vào mặt nhân viên bên đó cho nó bớt ngáo. Ức chế không tả nổi.",,,,1
khánh ly,,Ngonvaf chuyên nghiệp,,,,5
ngocha babe,,Good,,,,4
Khalil Gaser Reda Khalil (Hassan),,"Perfect place for breakfast, I like Mac anyway",,,,4
S2 Mio,,Nhân viên tồi,,,,1
A Rubel,,"Good service, friendly staff. You know they have to put up with a lot of demanding people.  They also dont cover your food in sauce.",,,,5
Hiếu Đỗ,,ổn,,,,4
Ngoc Cuong Tran,,Điều hòa hơi nóng,,,,2
tuyet phuong,,Phục vụ chưa nhanh nhạy,,,,5
Tuấn Trần Hữu,,"Địa điểm đẹp, đồ ăn ngon, thái độ tốt, phong cách chuyên nghiệp, điểm trừ là khôg gian hơi bí nên mùi hỗn hợp.",,,,4
Jako Lee,,等很久,,,,3
HDO Food,,Quá đông...,,,,4
Hoài Sơn Nguyễn,,Ngon,,,,5
Việt Đỗ,,Chu đáo,,,,5
Thái Nguyễn,,"Có món cho buổi sáng, bánh hơi dai với cứng",,,,3
Thắng Nguyễn Toàn,,Good,,,,5
nguyen van Manh,,"Vị trí đẹp, đồ ăn ok",,,,5
Hùng Anh Lê,,"Bánh bị khô quá, vừa cầm vào đã vỡ bánh. Các bạn nvien lịch sự nhiệt tình",,,,3
Hải Lê Thanh,,bt,,,,4
Hoa Nguyen,,Chỗ này là tiệm đầu tiên đc mở ở hà nội bạn nào nghiện ăn đồ ăn nhanh thì tới đây nhá,,,,5
Diego Berro,,Excelente atención!!!,,,,5
Hiếu Hoàng,,ăn ngon,,,,5
Phuong Thu,,Việc lựa chọn đồ ăn hơi khó đồ ăn thì tạm tạm nhưng sạch sẽ,,,,3
hung vu,,"Chi nhánh gần nhà nhất nên mình thường hay ra đây ăn gà rán hoặc vài món khác. Rất thoải mái vì lượng khách cũng lai rai , Lễ thì dĩ nhiên sẽ rất đông đến độ xếp hàng dài ngoằng để order ^^. . Lúc thì mình mua combo 29k , rồi combo 39k , khi thì mình ghé mua phần ăn Happy Meal có kèm đồ chơi cho bé , đồ chơi cũng xịn và bắt trend lắm.. . Gà rán mình rất ưng , vị ngon vừa miệng , bột da giòn tan , thịt gà ngon kèm nhiều loại sốt chấm. BUổi sáng sớm đến trước 11h có bánh muffin kẹp trứng phô mai hoặc thịt khá ổn để ăn sáng. Kem cây ngọt nhẹ. Đặc biệt , đến Mc Donald's nên thử qua món TRÀ XANH ĐÁ XAY best của best nhé ( ngon toẹt vời ) , không hề thất vọng. Món điểm trừ là trà đào nhé ( đừng mua phí tiền vì độ dỡ của nó thôi rồi ).. . Nhân viên khá dễ tính và thân thiện , nhân viên bảo vệ cả 2***đều dễ thương , vui vẻ , rất dễ gần , thích nói chuyện với khách.",,,,4
TM P,,Ok,,,,4
Nhà đất Huệ Anh,,Ngon ngon,,,,5
tan hoang,,Tàm tạm,,,,4
Hung Vu Tuan,,"Fan gà chân chính thì chắc không ai xa lạ với McDonald’s rồi!. Gà rán (36k/miếng) vỏ ngoài giòn rụm trong mềm ấm nóng chấm cùng tương ớt tỏi và sốt mù tạt thì phê thôi rồi. Mà có tận 5 loại sốt nên tha hồ lựa chọn nhaaa.. McNugget’s (35k/4pcs) mềm mềm ăn như bánh, thịt không bở.. Burger bò phô mai (35k) cắn ngập mồm, khoai tây chiên nóng giòn, cọng nhỏ.... Mình có gọi thêm kem sốt dâu (25k) và kem sốt socola (25k). Cảm giác ăn miếng đầu tiên là kem mịn, rất là hịn! Nhưng mà hơi ngọt nên ngấy, đợi chảy bớt ăn đỡ ngấy hơn.. Phần ăn Happy Meal (65k) gồm 1 hộp sữa milo, 1 miếng gà, 1 khoai nhỏ và 1 đồ chơi cho bé. Đầy đủ bổ dưỡng, mà người lớn mình ăn còn no luôn đó .  ️ Hiện McDonald’s đã có 3 cơ sở tại Hà Nội (Hàng Bài, Vicom Trần Duy Hưng, Thái Hà) nên thoải mái lựa chọn. Nói chung cả 3 cơ sở đều rộng rãi, mát mẻ, nhân viên đều phục vụ chuyên nghiệp không phải bàn, các bạn í rất là nice luôn.. ~ 100k-200k/người. McDonald’s Hàng Bài",,,,4
Trần Minh Tuấn,,dạo quanh hồ rồi nhảy vô mua cái burger...chuẩn ko cần chỉnh,,,,5
Manuel Gómez Puig,,"Te atienden bien en inglés y no está mal. Después de estar comiendo varios días comida vietnamita, te apetece cambiar.",,,,4
ahaanaxcreations,,Quite expensive but so yummy,,,,5
정다균,,맛있는 콘파이ㅋ,,,,4
Hoang Vu Le,,Đồ ăn ngon! Vẫn thích McDonald’s,,,,5
me 2,,Great little busy place. Excellent location. I particularly love the area where it's located. Some times I got a late night dinner for my son and used my Grab app to get a motorcycle taxi to take me back to the hotel. I just loved Hanoi! Went everywhere by myself using Grab.,,,,5
Kiên Trần Trung,,"Đã ăn ở cả KFC, Lote và MC. Ở MC cũng ko thấy có gì đặc sắc hơn. Ở đây việc chọn miếng gà khá khó, Được cái vị trí đẹp",,,,4
Hans-Hermann Brandes,,Keine english Kenntnisse,,,,1
VINVIVU “kevin Kevin”,,Good,,,,5
Tien Dung Dang,,"Không gian hạn chế, bãi đỗ xe cũng hạn chế",,,,2
Chris,,"Not a fan of McDonalds in general but missed a taste of home and this McDonald’s was exactly the same as in America, everything tasted the exact same as back home!",,,,5
Pauline Taylor,,Loved my big mac just like at home,,,,5
Trần Quốc Tuấn,,A normal fastfood :D,,,,3
dide j,,Ca reste mcdo,,,,4
Dennis Matthias,,War gut,,,,5
Tùng Đăng,,Khỏi nói proo,,,,5
Hà Trang,,Gà ngon nhất trong các nhà hàng cùng loại,,,,4
Trinh Nguyen,,Is has great big Macs with a pretty good price,,,,5
aaron ko,,品牌知名店,,,,5
WB,,Dude !! There is a McDonald's in Hanoi square,,,,5
Patrice Cailler,,"Il y avait de la glace Matcha.
Ça valait un quart d'heure de pause.",,,,3
Sebastián Nicolás Luna,,El lugar cuenta con terminales de auto-servicio. El personal sabe hablar inglés y se puede pedir el menú escrito en inglés.,,,,4
An Đặng,,Nv xinhh,,,,5
Munni,,Love it,,,,5
Katlyn Harris,,Over priced and greasy.,,,,3
조해철,,그냥 서호주변 맥도날드,,,,3
Duong Ngo,,"Những tối mở phố đi bộ, ở đây lúc nào cũng chật kín.",,,,5
Tran Ngoc Minh,,"Vị trí đẹp, đồ ăn bình thường!",,,,3
Cat Moon TV,,"Rất tốt cho việc ăn uống nhanh
Trẻ em thì hay muốn đến
Xuất ăn trẻ em rất rẻ",,,,5
Thanh Dat Tran,,Đồ ăn ngon. Giá hợp lý. Nhân viên thân thiện.,,,,5
Monower Hossain,,Food was great..,,,,5
Eiichi Sakashita,,"日本のマクドナルドと何も変わりません。
ベトナムコーヒーがあるくらいでしょうか。",,,,3
Tuấn Nguyễn Ngọc,,"McDonald’s Việt Nam cam kết áp dụng tiêu chuẩn của McDonald’s toàn cầu, đó là: Quality - Chất lượng, Service - Dịch vụ, Cleanliness - Vệ Sinh & Values - Giá trị.

•High quality food: Thực phẩm chất lượng
•Superior service: Phục vụ chuyên nghiệp
•Clean and welcoming environment: môi trường sạch sẽ và thân thiện
•Great value for money: Giá cả hợp lý

Đã trải nghiệm tại quán và điểm trừ duy nhất là xếp hàng lâu quá 😁",,,,5
Richard Turner,,So slow for a McDonalds.,,,,2
Mohamed Khairat,,"Probably the slowest McDonald's I've ever been to. Took 15 minutes for an apple pie (I wasn't told it would take that long). Others were waiting for up to 20 minutes for other standard food. Otherwise, it's just a McDonald's really.",,,,3
Van Nguyen,,"Quá đông khách, ko đủ chỗ ngồi, chỗ rửa tay rất bẩn",,,,3
Shiny Mani,,Usual stuff,,,,5
Nguyễn Cường,,Địa điểm đông đúc nhiều người nước ngoài,,,,4
りゅうのすけ,,注文を設置型パネルで出来る。なかなか便利,,,,4
Phong Nguyen,,Gà ngon,,,,4
Виктор Клименко,,"Обычный макдоналдс. Ничего особенного. На сенсорном терминале заказ помог сделать сотрудник в зале, который говорил на русском. Цены ну так, в России вроде подешевле. 2 картошки, 2 небольших чизбургера, 2 коды вышло кажется 230 тыс донгов. По вкусу вполне вкусно. Соусы бесплатны.",,,,5
Quang Trung Nguyễn,,"Buổi sáng chưa có BigMac nên gọi tạm set nhẹ. Không rõ có vẫn cùng một nguồn nhập khẩu không mà mình cảm giác như ăn vị cà chua nội địa.

Điểm cộng:
- Vị trí thuận tiện
- Khá mới, sạch sẽ
- Có booth order tự động
- Phục vụ nhanh
Điểm trừ:
- MacCafe chất lượng dở xuyên suốt
- Bánh táo vị không giống đồ ăn cho người
- Vị trí cạnh bốt công an - ko thân thiện với người VN",,,,4
Bogdanov Yuri,,"Макдональдс как Макдональдс. Очень приятный персонал. Быстро, четко, в соседнем лоттери помнится полчаса бургер ждал и полменю не было. Снимаю балл за булку в биг маке - котлета отлично, а вот булка прилипла к коробке, пока до дома дошёл и вообще не очень. Мясо с рисом - мяса очень мало, но, впрочем, это лучше и по цене почти также, чем похожие, но еще хуже, такие блюда в минимаркетах.",,,,4
Jasmine,,"Je ne suis pas adepte de fast-foods, surtout pas une enseigne que j’ai dans mon pays. Cependant à cause des intempéries nous n’avions que ça pour rentrer vite chez nous. Goûts différents de la France/Angleterre/Corée mais très surprenant pour McDonald’s. Service seulement un peu lent mais il y avait beaucoup de monde. Je pense que certains touristes se prennent pour des rois avec des reproches de typiques colons, puisqu’ils s’énervaient sans raison après avoir validé une commande deux minutes avant. Je suis satisfaite de cet endroit. Poulet frit très bon!

(Visité en septembre)",,,,3
Thu Hiền Martha Nguyễn,,"Đồ ăn và uống ok. Phục vụ chu đáo. Không gian thoải mái, trong phòng kín. Không phù hợp cho trẻ nhỏ chạy nhảy. Có bàn to cho nhóm và bàn nhỏ cho cặp đôi. Ok, thanks!",,,,4
Amanda Lee,,"Mình order 2 miếng gà và yêu cầu không lấy cục cánh , lúc mang đồ ra bạn nv bảo gà lấy ngẫu nhiên k được chọn, và ngẫu nhiên lại đúng 2 cục cánh. Quá vô lý và mất lịch sự!

Placed an order and asked for not picking pieces with wings, a staff gave me my food and it was exactly wings , he said that they choose random and customer cant get what they want ! So disappointed!!",,,,1
たかぴょん,,普通のマクドナルドです。,,,,3
Martin Hokke,,Zoals alle mcdonalds,,,,3
CHU CHU,,항상 붐빔,,,,5
Humphrey Chau,,Ordered curly fries. It was ready before the number came up on screen but the guy was yelling the order number in Vietnamese so I had no idea. Oh well...,,,,4
Nam Nguyen,,good,,,,5
L,,"越南風格的麥當勞
一個套餐300k越盾左右",,,,4
ricky jadunandan,,great and quick service. Wish they had a pork mac burger,,,,5
Dieu Minh Vu,,"Burger ngon, vị trí đẹp.",,,,5
Trung Thai Ha,,Đông. Đắt. Sang chảnh phong trào,,,,3
na Ni,,I had a combo burger with tekiyaki sauce for Tet festival. It is great.,,,,5
Anh Xe ôm Volg,,Thái độ phục vụ của nhân viên quá tệ,,,,1
응우엔티탄흥,,우웩,,,,1
Nguyenha Que,,Đông quá nên cảm nhận khi ăn không được ngon,,,,3
Duc Hieu,,"Tuyệt vời, đồ ăn ngon",,,,5
David Ashton,,Busy. But the get it done,,,,4
Quang Phan,,"Đồ ăn rất ngon, fast serving",,,,5
Hoài Nam,,"Ăn ngon và vị trí đẹp, sát cạnh Hồ Gươm.",,,,4
GuanWen Lin,,擁擠 空氣有點差...,,,,3
Linh Ta Phuong,,"Sometimes the staffs won't let you go upstair if it's late. Otherwise, it's fairly good service and food",,,,4
Nguyễn Thành Long,,Đồ ăn được. Phù hợp với trẻ em.,,,,5
Nguyễn Trung PC,,Tốt,,,,5
Cuong Nguyen Tien,,"Đồ ăn ngon,mỗi tội hơi đông",,,,5
Maissae Raisse,,Burger bien préparé services et préparation Inadmissible rester chez vous,,,,2
HIRONORI IKEDA (Line : hiro-hiro1971),,立地最高。フリーWiFi。,,,,4
Ninh,,Tuyệt,,,,5
Nguyễn Châu Giang,,Địa điểm đẹp,,,,5
正君劉,,越南的麥當勞比台灣的難吃，價錢也沒有比較便宜。,,,,2
Jhonatan Aditya,,They have 5 kind of sauce,,,,5
Marko Petkovic,,Great service and wonderful people :),,,,5
רחל פקירי,,זוועה,,,,1
김미랑,,에그머핀 셋트 69000동~~~,,,,4
谢一萍,,"定的外卖，两个汉堡都不对，还没给鸡块，醉了
Mistook burgers, and didn’t give nuggets, f**king order. Обманули с заказом и положили то, чего не заказывали, хотя по чеку вроде “правильно”. Плюс не положили нагетсов. Я не рекомендую заказывать у них что-то!",,,,1
thanh cong nguyen,,"Chất lượng đồ ăn và nhân viên thì ổn, nhưng cả quán có mỗi 1 nhà vệ sinh bé quá",,,,3
LIFE IN VIETNAM,,Nhanh,,,,5
Ngô Thọ,,Ngắm vui thôi,,,,2
Thang,,Good,,,,4
Jürgen Thul,,"Lokale Menüs sind vorhanden. Mayo und Saucen kann man sich selbst am Spender zapfen, was egtl auch ganz praktisch ist. Qualität des Essens leider so lala. So schmeckten die Curlyfries wie aufgewärmt vom Vortag.",,,,3
Hải Linh Nguyễn,,Văngs,,,,5
Moйsta- R,,"Located at the busiest street in Hanoi Old Quarter, opposite Ho Hoan Lake. The price almost the same with others country. Service quite good with English speaking staff.",,,,4
코우카,,아침이라 그런지 맥모닝밖에 안팔고있음.. 모두가아는 맥도날드의 맛,,,,4
Relax Ayofa,,Đồ ăn ngon,,,,5
Bill Bowling,,Very good Vietnam McDonald's,,,,5
王靖宇（Tim）,,人好多而且價格偏高～～如果找不到吃的是可以來!!但是空調不夠裡面很熱,,,,4
Karen Kruger,,Lovely,,,,5
Trang Nguyễn Hoàng,,View đẹp...đồ khá ngon,,,,5
long chengheng,,"Wc bẩn kinh khủng, bad service",,,,3
Dre Balcos,,Mcdonalds by the lake,,,,5
Độc Lạ Hà Nội,,Chất lượng theo chuẩn quốc tế. Khá đông khách. Vị trí đẹp nhìn ra hồ Gươm.,,,,5
Linh Phan,,Không gian thoải mái.,,,,5
Thắng Vũ Mạnh,,Ghé qua thôi,,,,4
바다냄새 좋아,,일반 페스트 푸드점입니다,,,,4
SeungHan Yun,,"주문 받는 직원들이 친절하며
음식 제공속도가 아주 빠르나
엄청난 인파와 혼잡 때문에 전체적으로 주문및 식사가 종종 문제가 발생함
소스가 없거나 음식이 바뀌거나 없거나 등등",,,,4
Đỗ Mạnh,,"Đồ ăn ngon, có thể tự order qua màn hình cảm ứng để lấy đồ nhanh hơn, nhưng lượng khách vẫn quá đông, order xong đợi 30’ mới lấy đc đồ.",,,,4
Asyraf Mohd Zin,,"Busiest mcdonalds in the country! Taste as usual, same as the others mcdonald",,,,5
Khai Tran,,Làm ko chuyên nghiệp,,,,1
Nguyễn Xuân Trường,,"Quán này ăn đc . tuy ko xuất sắc nhưng cũng nên thử , chỉ có điều hơi đắt",,,,4
Ho Leung,,Food was clean but service was slow,,,,3
Lục Tài Vlogs,,Sách sẽ các bác à,,,,4
Guye Supangan,,"Efficient service, good food :)",,,,5
Đối Tương,,"Quán đẹp, sạch sẽ. Đồ ăn ngon tuy hơi đắt. Quán rất đông vào giờ cao điểm và cách dịp lễ tết. Nhân viên phục vụ khá tốt.",,,,5
윤찬호,,손님도 별로 없었는데 엄청 늦게 나옴,,,,2
Cafe Đắng 2,,Hồ hoàng kiếm,,,,1
Akhil Gopinath,,Nice staffs and great service.,,,,5
유경선,,어디서나 만날수 있는 맥도날드입니다..,,,,3
by Ru,,"Ngon , giá cả hợp lí",,,,5
Daniel Jackson,,"They're slacking. The service is not the world class McDonald's service we all know and love. The food is standard though. That tastes the same. Also, be careful not to shock yourself on this plug.",,,,3
Anita Arifin,,I like their variety of sauce. But I can't find rice menu in here,,,,3
Lakshay Malhotra,,Loved their deluxe cheese burger,,,,5
Yash R,,Busy McD's with a good selection however the Sal service counter has an issue taking credit cards or is not user friendly.  The person who took our order could barely understand English and it was difficult to explain.  McCafe servo however was excellent.,,,,3
Thanh Huệ Nguyễn Thị,,Ngon,,,,4
Tùng Phương Vũ,,McDonald always good 🤗,,,,5
