Name,Review,Stars,Translated Review,Language,Sentiment
LIFE IN VIETNAM,Nhanh,5,Nhanh,vi,Positive
Ngô Thọ,Ngắm vui thôi,2,Ngắm vui thôi,vi,Negative
Thang,Good,4,Tốt,en,Positive
Jürgen Thul,"Lokale Menüs sind vorhanden. Mayo und Saucen kann man sich selbst am Spender zapfen, was egtl auch ganz praktisch ist. Qualität des Essens leider so lala. So schmeckten die Curlyfries wie aufgewärmt vom Vortag.",3,"Thực đơn địa phương có sẵn. Bạn có thể tự lấy mayo và nước sốt từ hộp đựng, điều này cũng rất thiết thực. Thật không may, chất lượng thực phẩm là như vậy. Khoai tây chiên có vị như được hâm nóng từ ngày hôm trước.",de,Neutral
Hải Linh Nguyễn,Văngs,5,Văngs,vi,Positive
Moйsta- R,"Located at the busiest street in Hanoi Old Quarter, opposite Ho Hoan Lake. The price almost the same with others country. Service quite good with English speaking staff.",4,"Tọa lạc tại con đường sầm uất nhất phố cổ Hà Nội, đối diện hồ Hồ Hoàn. Giá gần như giống nhau với các nước khác. Dịch vụ khá tốt với nhân viên nói tiếng Anh.",en,Positive
코우카,아침이라 그런지 맥모닝밖에 안팔고있음.. 모두가아는 맥도날드의 맛,4,Có lẽ vì đang là buổi sáng nên họ chỉ bán McMorning. Hương vị McDonald's ai cũng biết.,ko,Positive
Relax Ayofa,Đồ ăn ngon,5,Đồ ăn ngon,vi,Positive
Bill Bowling,Very good Vietnam McDonald's,5,McDonald Việt Nam rất ngon,en,Positive
王靖宇（Tim）,人好多而且價格偏高～～如果找不到吃的是可以來!!但是空調不夠裡面很熱,4,Ở đó rất đông và giá cả thì cao ~~ Nếu không tìm được đồ ăn thì có thể đến đây!! Nhưng máy lạnh không đủ và bên trong rất nóng.,zh-CN,Positive
Karen Kruger,Lovely,5,Đáng yêu,en,Positive
Trang Nguyễn Hoàng,View đẹp...đồ khá ngon,5,View đẹp...đồ khá ngon,vi,Positive
long chengheng,"Wc bẩn kinh khủng, bad service",3,"Wc bẩn kinh khủng, bad service",vi,Neutral
Dre Balcos,Mcdonalds by the lake,5,McDonald bên hồ,en,Positive
Độc Lạ Hà Nội,Chất lượng theo chuẩn quốc tế. Khá đông khách. Vị trí đẹp nhìn ra hồ Gươm.,5,Chất lượng theo chuẩn quốc tế. Khá đông khách. Vị trí đẹp nhìn ra hồ Gươm.,vi,Positive
Linh Phan,Không gian thoải mái.,5,Không gian thoải mái.,vi,Positive
Thắng Vũ Mạnh,Ghé qua thôi,4,Ghé qua thôi,vi,Positive
바다냄새 좋아,일반 페스트 푸드점입니다,4,Đó là một nhà hàng thức ăn nhanh thông thường.,ko,Positive
SeungHan Yun,"주문 받는 직원들이 친절하며
음식 제공속도가 아주 빠르나
엄청난 인파와 혼잡 때문에 전체적으로 주문및 식사가 종종 문제가 발생함
소스가 없거나 음식이 바뀌거나 없거나 등등",4,"Các nhân viên nhận đơn đặt hàng rất thân thiện.
Thức ăn được phục vụ rất nhanh phải không?
Do lượng người đông đúc và tắc nghẽn nên việc gọi món và ăn uống nói chung thường gặp nhiều vấn đề.
Không có nước sốt, đồ ăn có thay đổi hay không, v.v.",ko,Positive
Đỗ Mạnh,"Đồ ăn ngon, có thể tự order qua màn hình cảm ứng để lấy đồ nhanh hơn, nhưng lượng khách vẫn quá đông, order xong đợi 30’ mới lấy đc đồ.",4,"Đồ ăn ngon, có thể tự order qua màn hình cảm ứng để lấy đồ nhanh hơn, nhưng lượng khách vẫn quá đông, order xong đợi 30’ mới lấy đc đồ.",vi,Positive
Asyraf Mohd Zin,"Busiest mcdonalds in the country! Taste as usual, same as the others mcdonald",5,"McDonalds bận rộn nhất trong cả nước! Hương vị như thường lệ, giống như những McDonald khác",en,Positive
Khai Tran,Làm ko chuyên nghiệp,1,Làm ko chuyên nghiệp,vi,Negative
Nguyễn Xuân Trường,"Quán này ăn đc . tuy ko xuất sắc nhưng cũng nên thử , chỉ có điều hơi đắt",4,"Quán này ăn đc . tuy ko xuất sắc nhưng cũng nên thử , chỉ có điều hơi đắt",vi,Positive
Ho Leung,Food was clean but service was slow,3,Đồ ăn sạch nhưng phục vụ chậm,en,Neutral
Lục Tài Vlogs,Sách sẽ các bác à,4,Sách sẽ các bác à,vi,Positive
Guye Supangan,"Efficient service, good food :)",5,"Dịch vụ hiệu quả, thức ăn ngon :)",en,Positive
Đối Tương,"Quán đẹp, sạch sẽ. Đồ ăn ngon tuy hơi đắt. Quán rất đông vào giờ cao điểm và cách dịp lễ tết. Nhân viên phục vụ khá tốt.",5,"Quán đẹp, sạch sẽ. Đồ ăn ngon tuy hơi đắt. Quán rất đông vào giờ cao điểm và cách dịp lễ tết. Nhân viên phục vụ khá tốt.",vi,Positive
윤찬호,손님도 별로 없었는데 엄청 늦게 나옴,2,Không có nhiều khách hàng nhưng họ lại ra rất muộn.,ko,Negative
Cafe Đắng 2,Hồ hoàng kiếm,1,Hồ hoàn kiếm,vi,Negative
Akhil Gopinath,Nice staffs and great service.,5,Nhân viên tốt và dịch vụ tuyệt vời.,en,Positive
유경선,어디서나 만날수 있는 맥도날드입니다..,3,McDonald's có thể được tìm thấy ở bất cứ đâu.,ko,Neutral
by Ru,"Ngon , giá cả hợp lí",5,"Ngon , giá cả hợp lí",vi,Positive
Daniel Jackson,"They're slacking. The service is not the world class McDonald's service we all know and love. The food is standard though. That tastes the same. Also, be careful not to shock yourself on this plug.",3,"Họ đang lười biếng. Dịch vụ này không phải là dịch vụ đẳng cấp thế giới của McDonald's mà tất cả chúng ta đều biết và yêu thích. Thức ăn là tiêu chuẩn mặc dù. Cái đó có vị giống nhau. Ngoài ra, hãy cẩn thận để không bị điện giật bởi phích cắm này.",en,Neutral
Anita Arifin,I like their variety of sauce. But I can't find rice menu in here,3,Tôi thích nhiều loại nước sốt của họ. Nhưng tôi không tìm thấy menu cơm ở đây,en,Neutral
Lakshay Malhotra,Loved their deluxe cheese burger,5,Yêu bánh burger phô mai sang trọng của họ,en,Positive
Yash R,Busy McD's with a good selection however the Sal service counter has an issue taking credit cards or is not user friendly.  The person who took our order could barely understand English and it was difficult to explain.  McCafe servo however was excellent.,3,"McD's bận rộn với nhiều lựa chọn tốt tuy nhiên quầy dịch vụ Sal gặp vấn đề khi lấy thẻ tín dụng hoặc không thân thiện với người dùng. Người nhận đơn đặt hàng của chúng tôi hầu như không hiểu được tiếng Anh và rất khó giải thích. Tuy nhiên, McCafe servo rất xuất sắc.",en,Neutral
Thanh Huệ Nguyễn Thị,Ngon,4,Ngon,vi,Positive
Tùng Phương Vũ,McDonald always good 🤗,5,McDonald lúc nào cũng ngon 🤗,en,Positive
soo chen,서빙해주는게 아님 좀 아쉽다,4,Có một chút thất vọng khi họ không phục vụ bạn.,ko,Positive
潘建助,"跟台灣的價位差不多
客人真的很多
廚房很小，所以出餐速度會比較慢
有免費的廁所，男女各一，需要排隊",5,"Giá tương tự như ở Đài Loan
Thực sự có rất nhiều khách
Bếp nhỏ nên giao đồ ăn chậm
Có nhà vệ sinh miễn phí, một cho nam và nữ, nhưng bạn phải xếp hàng",zh-CN,Positive
Trung Dung,"Ko tat bang mcdonal hoang dao thuy. Mieng ga qua be. Se ko quay lai nua vi xung quanh co nhieu cua hang an nhanh hon... gia ca hop ly hon. Tuy nhien, co 1 diem cong cua mcdonal so voi cac cua hang khac la nhan vien chuyen nghiep hon. Va da du ky tu chua nhi?? Cho chac chan!",3,"Ko tat bang mcdonal hoang dao thuy. Mieng ga qua be. Se ko quay lai nua vi xung quanh co nhieu cua hang an nhanh hon... gia ca hop ly hon. Tuy nhien, co 1 diem cong cua mcdonal so voi cac cua hang khac la nhan vien chuyen nghiep hon. Va da du ky tu chua nhi?? Cho chac chan!",vi,Neutral
신해철,투어 미팅장소였고 잠깐 들어가서 생수 샀는데 직원들 친절했습니다.,3,Đó là một nơi gặp gỡ du lịch và tôi đã đi vào mua nước đóng chai một thời gian ngắn và nhân viên rất thân thiện.,ko,Neutral
充郎,"朝から歩きっぱなしで疲れたがゆっくり休憩が取れた
世界共通の味ですね",4,"Tôi mệt mỏi vì đi bộ cả buổi sáng, nhưng tôi đã có thể nghỉ ngơi thoải mái.
Đó là một hương vị phổ biến trên toàn thế giới.",ja,Positive
Robert Sc,Esta bien,3,Được rồi,es,Neutral
truong thi nhat hanh,"Thức ăn ok, nhanh, nhân viên phục vụ tốt. Tuy nhiên nhân viên order mặt rất thái độ. Hỏi và trả lời rất khó ưa, nhìn mặt ko cười nổi 1 cái với khách hàng. Bước vào cửa thì quầy order là nơi tiếp xúc đầu tiên đã gây mất thiện cảm nên ăn trưa cũng ko ngon nổi. Cứ như tôi mắc nợ anh ta cái gì. Trong lúc order rất vắng khách, chỉ có tôi thì ko lý gì anh ta lại tỏ thái độ mệt mỏi và khinh khỉnh như thế. No reccommend",2,"Thức ăn ok, nhanh, nhân viên phục vụ tốt. Tuy nhiên nhân viên order mặt rất thái độ. Hỏi và trả lời rất khó ưa, nhìn mặt ko cười nổi 1 cái với khách hàng. Bước vào cửa thì quầy order là nơi tiếp xúc đầu tiên đã gây mất thiện cảm nên ăn trưa cũng ko ngon nổi. Cứ như tôi mắc nợ anh ta cái gì. Trong lúc order rất vắng khách, chỉ có tôi thì ko lý gì anh ta lại tỏ thái độ mệt mỏi và khinh khỉnh như thế. No reccommend",vi,Negative
Quang Nga Nguyen,Gà ngon hơn kfc và Lotteria,4,Gà ngon hơn kfc và Lotteria,vi,Positive
Wave Honda,It is always good taste,5,Nó luôn luôn có hương vị tốt,en,Positive
蔡昆榕,台灣的還是比較好吃,3,Hàng Đài Loan khá ngon.,zh-CN,Neutral
Kabirul Pious,This is one of the popular Mac store in Hanoi. The place is bit narrow but window view is nice.,4,Đây là một trong những cửa hàng Mac nổi tiếng ở Hà Nội. Nơi này hơi hẹp nhưng view cửa sổ rất đẹp.,en,Positive
Jules Jublin,"Nicht so toll, sehr teuer und keine regionalen Speisen.",1,"Không tuyệt vời, rất đắt tiền và không có thực phẩm khu vực.",de,Negative
mathdic,한국에서도 볼 수 있는 무인 키오스크 주문방식이 적용되어있음. 물론 카운터에서 주문도 가능,4,"Phương thức đặt hàng ki-ốt không người lái cũng có thể tìm thấy ở Hàn Quốc được áp dụng. Tất nhiên, bạn cũng có thể đặt hàng tại quầy.",ko,Positive
duc pham,"Quán đồ ăn nhanh ngon, vị trí đắc địa, chỗ ngồi sạch sẽ, gọi đồ và nhận đồ rất nhanh. Giá thành hơn đắt với ngưòi việt nói chung. Đáng để thử và trải nghiệm",5,"Quán đồ ăn nhanh ngon, vị trí đắc địa, chỗ ngồi sạch sẽ, gọi đồ và nhận đồ rất nhanh. Giá thành hơn đắt với ngưòi việt nói chung. Đáng để thử và trải nghiệm",vi,Positive
super genis,Quá ngon ạ.,5,Quá ngon ạ.,vi,Positive
Paras Yadav,Tasty food..,4,Thức ăn ngon..,en,Positive
Khoa Nguyen - Tom,Món ăn ở McDonald TPHCM so với ở Hà Nội thì bên TPHCM ngon hơn và có nhiều chi nhánh McDonald hơn và nhân viên tốt hơn nhưng Hà Nội thì cụng khá là ngon nhưng nhân viên và bảo vệ hơi tệ chút. Mà vị trí dễ tìm và cũng rất đẹp.,3,Món ăn ở McDonald TPHCM so với ở Hà Nội thì bên TPHCM ngon hơn và có nhiều chi nhánh McDonald hơn và nhân viên tốt hơn nhưng Hà Nội thì cụng khá là ngon nhưng nhân viên và bảo vệ hơi tệ chút. Mà vị trí dễ tìm và cũng rất đẹp.,vi,Neutral
trung mai,Đồ ăn ở đây rất ngon và cũng rất tiện để ra hồ chơi,5,Đồ ăn ở đây rất ngon và cũng rất tiện để ra hồ chơi,vi,Positive
Tung Duong,Biển hiệu hơi khác so với các nhà hàng McDonald khác,4,Biển hiệu hơi khác so với các nhà hàng McDonald khác,vi,Positive
Brid Mcdonagh,What's not to love,5,Có gì mà không yêu,en,Positive
Hương Vega Quỳnh (TMC2007),"Địa điểm khá thuận tiện, tuy nhiên hơi chật",4,"Địa điểm khá thuận tiện, tuy nhiên hơi chật",vi,Positive
Manh Hung Luong,5 sao !,5,5 sao !,vi,Positive
Huỳnh Hiệp,Dạo phố,3,Dạo phố,vi,Neutral
Yourvacation Travel Tourghepdulich,Tốt,4,Tốt,vi,Positive
Tuan Le,Trung tâm Hà Nội,4,Trung tâm Hà Nội,vi,Positive
Phạm Thái Hoàng,Ăn bình thường,3,Ăn bình thường,vi,Neutral
Sam Mahmoud,Beautiful place and tasty food also the prices are good,5,Địa điểm đẹp và đồ ăn ngon giá cả cũng tốt,en,Positive
Nguyen Nhat Binh,Quá đông đặc biệt dịp cuối tuần,5,Quá đông đặc biệt dịp cuối tuần,vi,Positive
Hoàng Nguyễn Xuân,"Buồn ơi là buồn. Burger thì không có 1 cọng rau, miếng phomat thì chảy xệ, miếng bánh kẹp thì xốp bóp phát là vỡ. Khoai tây chiên thì yểu xìu. Nói chung là lần đầu tiên ăn lại sau hơn 9 năm thì mcdonald vẫn tệ như ngày nào.",1,"Buồn ơi là buồn. Burger thì không có 1 cọng rau, miếng phomat thì chảy xệ, miếng bánh kẹp thì xốp bóp phát là vỡ. Khoai tây chiên thì yểu xìu. Nói chung là lần đầu tiên ăn lại sau hơn 9 năm thì mcdonald vẫn tệ như ngày nào.",vi,Negative
Thanh Vu,"I always like McDonald. Here or in America or other countries, all give the same taste.",5,"Tôi luôn thích McDonald. Ở đây hay ở Mỹ hay nước khác, tất cả đều cho hương vị như nhau.",en,Positive
Bui Huyen,Quick and delicous. Better than Lotteria,5,Nhanh và ngon. Tốt hơn Lotteria,en,Positive
RentABikeVN com,It's a McDonald's.,5,Đó là một cửa hàng McDonald's.,en,Positive
Hiếu Nguyễn Duy,Sốt rất ngon. Mù tạt mật ông good,5,Sốt rất ngon. Mù tạt mật ông good,vi,Positive
Amina Stella,Green tea muffin,5,Bánh muffin trà xanh,en,Positive
Ciara Lee,Fast service,5,Dịch vụ nhanh chóng,en,Positive
Duy Anh Nguyen,"Đồ ăn ngon nhưng vẫn phải cho 1* vì ăn xong mình ra ngoài bắt grab , đang chờ xe mà trời mưa thì bị bảo vệ ra quát đuổi không cho đứng dưới hiên , có nói là cháu vừa ăn xong cháu chờ xe đón , nhưng ông í vẫn quát , để í thì thấy ai ông í cũng quát nên cho 1* chấn chỉnh nhé 🙂",1,"Đồ ăn ngon nhưng vẫn phải cho 1* vì ăn xong mình ra ngoài bắt grab , đang chờ xe mà trời mưa thì bị bảo vệ ra quát đuổi không cho đứng dưới hiên , có nói là cháu vừa ăn xong cháu chờ xe đón , nhưng ông í vẫn quát , để í thì thấy ai ông í cũng quát nên cho 1* chấn chỉnh nhé 🙂",vi,Negative
Atuan Nguyen,Hôm nay con ra MCDonald's rõ là hộp Happy Meal được tặng Zozo mà lúc nhân viên lại phát quyền sách. Lý do hết zozo :(,4,Hôm nay con ra MCDonald's rõ là hộp Happy Meal được tặng Zozo mà lúc nhân viên lại phát quyền sách. Lý do hết zozo :(,vi,Positive
Thiem Vu Van (Thiembrian),とてもおいしい。,5,rất ngon.,ja,Positive
Trương Hoài Nam,"Hơi đông tý, nhưng vẫn chấp nhận được, hơn hẳn KFC.",5,"Hơi đông tý, nhưng vẫn chấp nhận được, hơn hẳn KFC.",vi,Positive
Anh Chu Tuan,"Đồ ăn ngon, vị trí đẹp, ứng dụng công nghệ đặt món rất nhanh và thuận tiện",5,"Đồ ăn ngon, vị trí đẹp, ứng dụng công nghệ đặt món rất nhanh và thuận tiện",vi,Positive
Miki Ben Zaken,אחלה קזינו,4,Sòng bạc tuyệt vời,iw,Positive
Dillon Wobben,"Busy, but just good solid McDonalds we all know and live",4,"Bận rộn, nhưng chỉ là những cửa hàng McDonalds ngon mà tất cả chúng ta đều biết và sống",en,Positive
Thu Nhật,khá ổn,5,khá ổn,vi,Positive
paul burg,Good location,4,Vị trí tốt,en,Positive
Tú Nguyễn,Chờ đồ ăn quá lâu,1,Chờ đồ ăn quá lâu,vi,Negative
jack,yummy.,5,ngon.,en,Positive
lưu lập,Phong cach phục vụ tất chuyen nghiệp chất lượng ok,5,Phong cach phục vụ rất chuyen nghiệp chất lượng ok,vi,Positive
Trung Lê,Ngon tuyệt,5,Ngon tuyệt,vi,Positive
나는전설이다.,"정신없이 번잡한 곳이죠.
많은 손님 수에 비해서 화장실이 너무 비좁다.",3,"Đó là một nơi điên rồ và bận rộn.
Phòng tắm quá chật chội đối với lượng khách lớn.",ko,Neutral
Vladimir Bandurchenko,Perfect food and service,5,Thức ăn và dịch vụ hoàn hảo,en,Positive
Tung Nguyen (Tung Nguyen M.D),Quá đông,3,Quá đông,vi,Neutral
Dan Reed,Aw heck yis pit stop.,5,Cái hố dừng này thế quái nào được.,kri,Positive
最高玉子,従業員さんは愛嬌よく、朝マックも最高！！,4,Các nhân viên rất thân thiện và bữa sáng Mac rất tuyệt! !,ja,Positive
Hưởng Nguyễn,ngon rể,5,ngon rể,vi,Positive
Thuy Tran,Nhân viên thái độ ko tốt phân biệt đối xử,1,Nhân viên thái độ ko tốt phân biệt đối xử,vi,Negative
Alex Havermans,"Went to use the free bathroom and wifi, paper had to be thrown in a bin. Was clean. Friendly staff.",4,"Đi sử dụng phòng tắm và wifi miễn phí, giấy phải bỏ vào thùng. Đã sạch sẽ. Nhân viên thân thiện.",en,Positive
SƠN LÂM - STUDIO,Bình thường,4,Bình thường,vi,Positive
ᄋᄋ,"가격은 전세계가 비슷합니다.
깔끔하고 좋습니다. 테이블로 버거 가져다주는 서비스도 있더라구요 ㅋㅋ",4,"Giá cả tương tự trên khắp thế giới.
Nó gọn gàng và đẹp đẽ. Ngoài ra còn có dịch vụ mang bánh mì kẹp thịt đến bàn của bạn.",ko,Positive
Hafizuddin Kamarudin (Okie Dokie with Mr Po),Normal standard of McD. Good and helpful staff. Open til midnight during weekends,5,Tiêu chuẩn bình thường của McD. Nhân viên tốt và hữu ích. Mở cửa đến nửa đêm vào cuối tuần,en,Positive
장지영,"친절하고 청결했다 햄버거도 맛났다
어른에 아이셋 먹은 가격이 320000동 정도 들었다",4,"Nó rất thân thiện và sạch sẽ và bánh mì kẹp thịt rất ngon.
Giá một suất ăn trẻ em người lớn khoảng 320.000 đồng.",ko,Positive
Aurelie Jordison,"Very cool to discover new dishes from this chain. The rice and pork was very good, the chicken too cuz it's not the same as in France. Peach tea was nice too but too much ice in it.",5,"Rất thú vị khi khám phá những món ăn mới từ chuỗi này. Cơm và thịt lợn rất ngon, thịt gà cũng không giống ở Pháp. Trà đào cũng ngon nhưng có quá nhiều đá.",en,Positive
André Pimparé,Miam comme toujours. Pour nous suivre sur Facebook : Drew et Karl en voyage,5,Yum như mọi khi. Để theo dõi chúng tôi trên Facebook: Drew và Karl trong một chuyến đi,fr,Positive
Khoai Ta Khoai Tây,"❤️ McDonald's CÓ NGON KO? - WAS McDonald's GOOD? 😀 #khoaiinhanoi
Yup, đợt vừa rồi 2 đứa cuối cùng cũng đã đc thử Mc Donald ở HN 😗 Bọn mình đã chọn những thứ căn bản nhất và nổi tiếng nhất ở đấy như McNuggets, Cheeseburger và McFlurry. Ngoài ra thì có gọi gà rán vs khoai chiên nữa.
Và thực sự thấy rất bất ngờ, bơi vì mấy món nổi tiếng... chả ngon như lời đồn 😳 Burger ko ngon bằng của KFC ấy huhu, miếng thịt bò nhạt nhẽo, khô xác xơ, ăn còn ko có vị bò, vs 1 miếng cheese, tí xốt, hết! Nuggets cũng thế, vị rất bt ko có gì thần thánh hết :< Thất vọng quá huhu 😭 Cái kéo lại ở đây nhất chính là quầy sốt chấm, có đến tận 5 loại, ngoài ketchup vs tương ớt ra thì còn có cả tương ớt tỏi, mù tạt mật ong vs mayonnaise. Nhưng mà kem thì đúng là ngon thật, ngon nhất trong mấy hãng đồ ăn nhanh kiểu này.
Gà rán cũng khá đc ý. Khoai tây chiên ngon, hôm 2 đứa ăn lại còn đc khoai mới nóng giòn 😗 Thấy có cả bánh nữa nhưng mà 2 đứa chưa thử.
Nhìn chung là hơi buồn, vì thấy nhiều ng nghiện đồ ăn ở đây nên kì vọng hơi nhiều 😅
🔴 McDonald's
📍2 Hàng Bài, Hà Nội
💲15-295k
------
Yup, on the trip to Hanoi, we even tried Mc Donald 😗 We chose the most famous stuffs there like Cheeseburger, McNuggets and McFlurry, with some other stuffs like fried chicken, fries.
We're so surprised, cuz... they weren't that good! 😳 The Burger was so bland, dry beef patty, didn't even taste like beef, with a silce of cheese, some sauce, done. Same with the nuggets, too normal to be something 😔 The nice thing in here that we love the most was they have 5 kinds of sauce, not just ketchup and chilli sauce, they even have mayonnaise, garlic chilli sauce and honey mustard 😍
But the McFlurry was really good, best ice cream in all of the fasfood franchises for us.
The fried chicken was nice. Good fries, we got them from a new batch, so they were even hot and crunchy 😚 They have cakes too but we didn't try.
In general, it was a lil bit sad, like there are a lot of people that addicted to these stuffs so we really had high expectation... 😔

Follow our blog on Instagram and Facebook for more reviews : @khoaitaykhoaita_",3,"❤️ McDonald's CÓ NGON KO? - WAS McDonald's GOOD? 😀 #khoaiinhanoi
Yup, đợt vừa rồi 2 đứa cuối cùng cũng đã đc thử Mc Donald ở HN 😗 Bọn mình đã chọn những thứ căn bản nhất và nổi tiếng nhất ở đấy như McNuggets, Cheeseburger và McFlurry. Ngoài ra thì có gọi gà rán vs khoai chiên nữa.
Và thực sự thấy rất bất ngờ, bơi vì mấy món nổi tiếng... chả ngon như lời đồn 😳 Burger ko ngon bằng của KFC ấy huhu, miếng thịt bò nhạt nhẽo, khô xác xơ, ăn còn ko có vị bò, vs 1 miếng cheese, tí xốt, hết! Nuggets cũng thế, vị rất bt ko có gì thần thánh hết :< Thất vọng quá huhu 😭 Cái kéo lại ở đây nhất chính là quầy sốt chấm, có đến tận 5 loại, ngoài ketchup vs tương ớt ra thì còn có cả tương ớt tỏi, mù tạt mật ong vs mayonnaise. Nhưng mà kem thì đúng là ngon thật, ngon nhất trong mấy hãng đồ ăn nhanh kiểu này.
Gà rán cũng khá đc ý. Khoai tây chiên ngon, hôm 2 đứa ăn lại còn đc khoai mới nóng giòn 😗 Thấy có cả bánh nữa nhưng mà 2 đứa chưa thử.
Nhìn chung là hơi buồn, vì thấy nhiều ng nghiện đồ ăn ở đây nên kì vọng hơi nhiều 😅
🔴 McDonald's
📍2 Hàng Bài, Hà Nội
💲15-295k
------
Yup, on the trip to Hanoi, we even tried Mc Donald 😗 We chose the most famous stuffs there like Cheeseburger, McNuggets and McFlurry, with some other stuffs like fried chicken, fries.
We're so surprised, cuz... they weren't that good! 😳 The Burger was so bland, dry beef patty, didn't even taste like beef, with a silce of cheese, some sauce, done. Same with the nuggets, too normal to be something 😔 The nice thing in here that we love the most was they have 5 kinds of sauce, not just ketchup and chilli sauce, they even have mayonnaise, garlic chilli sauce and honey mustard 😍
But the McFlurry was really good, best ice cream in all of the fasfood franchises for us.
The fried chicken was nice. Good fries, we got them from a new batch, so they were even hot and crunchy 😚 They have cakes too but we didn't try.
In general, it was a lil bit sad, like there are a lot of people that addicted to these stuffs so we really had high expectation... 😔

Follow our blog on Instagram and Facebook for more reviews : @khoaitaykhoaita_",vi,Neutral
다빈,친절한 점원. 깨끗한 맥도날드.,5,Thư ký thân thiện. McDonald sạch sẽ.,ko,Positive
Charlden Van Wyk,Good food but bad service,4,Đồ ăn ngon nhưng dịch vụ tệ,en,Positive
Trang Trần,Mở,4,Mở,vi,Positive
Jeremy Simmons,Best Maccas. Good spot to watch over the crazy traffic,5,Macca tốt nhất. Vị trí tốt để theo dõi giao thông điên cuồng,en,Positive
Trịnh Thị Dung (Dung Lùn),Không gian ngồi khá rộng nhưng chỗ đi vs thì ít quá 😅😅😅,4,Không gian ngồi khá rộng nhưng chỗ đi vs thì ít quá 😅😅😅,vi,Positive
Đồ Thờ Tượng Phật Tân Trang,Chưa ghea,3,Chưa ghea,vi,Neutral
1 horavel,"매그도날드
칼로리 채우러감",5,"McDonald's
Để lấp đầy lượng calo",ko,Positive
An H,Ok,5,Được rồi,en,Positive
Vasco Pinto,It´s a McDonald´s :),4,Đó là McDonald's :),en,Positive
Do Chi Thanh,Good,5,Tốt,en,Positive
Feng Michael,"Quán ở trung tâm, đúng góc đẹp, đông khách, chắc chỉ phù hợp khách du lịch.",4,"Quán ở trung tâm, đúng góc đẹp, đông khách, chắc chỉ phù hợp khách du lịch.",vi,Positive
Hương Giang Lãnh,"Phục vụ tận tình, chu đáo.",5,"Phục vụ tận tình, chu đáo.",vi,Positive
Hung Nguyen Thanh,Too crowed and messy,3,Quá đông đúc và lộn xộn,en,Neutral
Seuk Kee Hong,MD,5,MD,en,Positive
Vladislav Blecha,McDonald's jako všude ve světě,5,McDonald's giống như mọi nơi trên thế giới,cs,Positive
Lộc Lê,Phục vụ chuyên nghiệp. Gọn gàng,5,Phục vụ chuyên nghiệp. Gọn gàng,vi,Positive
Phương Chi Đinh,"Khoai mặn, nv cho muối 2 lần, biết mà vẫn đem ra bán cho khách",2,"Khoai mặn, nv cho muối 2 lần, biết mà vẫn đem ra bán cho khách",vi,Negative
Studio Suchi,Tuyệt,3,Tuyệt,vi,Neutral
Tu Nguyen Duc,Bình thường burger k ngon mấy,3,Bình thường burger k ngon mấy,vi,Neutral
B Basnyat,Staff sleeping on the sofas. Weird smell!,1,Nhân viên ngủ trên ghế sofa. Mùi lạ!,en,Negative
Tiger Official,Đẹp,5,Đẹp,vi,Positive
Thomas Hubbard,Bigmark khác ngon,5,Bigmark khác ngon,vi,Positive
Binh le duy,Good,4,Tốt,en,Positive
Martin Ngo,"Nhân viên rất nhiều mà toàn làm việc riêng. Không hướng dẫn khách mua hàng chỗ nào, thanh toán ra sao?? Để khách đợi một lúc lâu mới có người ra hỏi... chán cho 1 thương hiệu toàn cầu.",1,"Nhân viên rất nhiều mà toàn làm việc riêng. Không hướng dẫn khách mua hàng chỗ nào, thanh toán ra sao?? Để khách đợi một lúc lâu mới có người ra hỏi... chán cho 1 thương hiệu toàn cầu.",vi,Negative
Steve Hammond,"What can I say, the burger was fresh as and as always coke was refreshing.  Ac was cold and you get unlimited sauces 😅.   Yum!",5,"Tôi có thể nói gì đây, chiếc burger luôn tươi ngon và như mọi khi, cocacola luôn tươi mát. Ac rất lạnh và bạn nhận được nước sốt không giới hạn 😅. Ừm!",en,Positive
신상일,"미디엄 빅맥 8만9천동(미디엄빅맥이라고하면 우리나라 세트를 줌),빅맥버거(단품) 주문. 앉아있으면 가져다 줌. 맛은 빅맥과 같음.",4,"Đặt mua một chiếc Medium Big Mac với giá 89.000 đồng (khi họ nói Medium Big Mac, họ sẽ tặng bạn một set Hàn Quốc) và một chiếc Big Mac Burger (một món). Nếu bạn ngồi xuống, nó sẽ được mang đến cho bạn. Hương vị giống như một chiếc Big Mac.",ko,Positive
Euphorian Traveller,so busy,1,rất bận rộn,en,Negative
Ngọc Nguyễn,"Đồ ăn được, vị trí đẹp, mặc dù có máy để gọi đồ cho nhanh nhưng lúc thanh toán bằng thẻ lại bị lỗi",3,"Đồ ăn được, vị trí đẹp, mặc dù có máy để gọi đồ cho nhanh nhưng lúc thanh toán bằng thẻ lại bị lỗi",vi,Neutral
Hoàng vân vlog,Tốt,4,Tốt,vi,Positive
Tuan Thanh,Nhộn nhạo quá,3,Nhộn nhạo quá,vi,Neutral
Ghost,Đi qua,5,Đi qua,vi,Positive
tran trung Nguyen,Tốt,4,Tốt,vi,Positive
Huyen Ngo,Best location around walking street,5,Vị trí tốt nhất xung quanh phố đi bộ,en,Positive
